glyph_name,ps_name,sort_final,sort_design
d,d,71,20071
e,e,72,20072
f,f,73,20073
g,g,74,20074
h,h,75,20075
i,i,76,20076
j,j,77,20077
k,k,78,20078
l,l,79,20079
m,m,80,20080
n,n,81,20081
o,o,82,20082
p,p,83,20083
q,q,84,20084
r,r,85,20085
s,s,86,20086
t,t,87,20087
u,u,88,20088
v,v,89,20089
w,w,90,20090
x,x,91,20091
y,y,92,20092
z,z,93,20093
braceleft,braceleft,94,20094
bar,bar,95,20095
braceright,braceright,96,20096
